"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on Feb-21-2024)",,,,,,,,,,,
Influenza Division - Centers for Disease Control and Prevention.,,,,,,,,,,,
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE 
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Female,Overall,0.1,0.1,null,null
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Male,Overall,0.1,0.1,null,null
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,White,0.1,0.1,0.07,0.07
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Black,0.1,0.1,0.06,0.06
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Hispanic/Latino,0.1,0.1,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Asian/Pacific Islander,0.2,0.2,0.19,0.19
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,American Indian/Alaska Native,0,0,0,0
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Overall,0.1,0.1,0.09,0.09
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,White,0.1,0.1,0.12,0.05
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,Black,0.3,0.3,0.35,0.29
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,Hispanic/Latino,0.2,0.1,0.31,0.22
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,Asian/Pacific Islander,0.2,0.1,0.27,0.08
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,American Indian/Alaska Native,0,0,0,0
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,Overall,0.2,0.1,0.19,0.11
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Male,Overall,0.2,0.1,null,null
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Female,Overall,0.3,0.1,null,null
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Male,Overall,0.3,0.2,null,null
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Female,Overall,0.4,0.2,null,null
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,White,0.3,0.2,0.25,0.13
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,Black,0.6,0.3,0.69,0.34
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,Hispanic/Latino,0.3,0.1,0.45,0.14
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,Asian/Pacific Islander,0.3,0.1,0.35,0.08
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,American Indian/Alaska Native,0,0,0,0
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,Overall,0.4,0.2,0.36,0.16
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Male,Overall,0.5,0.2,null,null
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Female,Overall,0.6,0.2,null,null
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,White,0.4,0.1,0.38,0.14
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,Black,1,0.4,1.09,0.4
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,Hispanic/Latino,0.6,0.2,0.7,0.25
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,Asian/Pacific Islander,0.3,0,0.4,0.05
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,American Indian/Alaska Native,0.5,0.5,0.45,0.45
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,Overall,0.6,0.2,0.54,0.19
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Female,Overall,0.9,0.2,null,null
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Male,Overall,0.7,0.2,null,null
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,White,0.6,0.2,0.56,0.18
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,Black,1.3,0.3,1.37,0.27
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,Hispanic/Latino,0.8,0.3,1.04,0.34
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,Asian/Pacific Islander,0.6,0.3,0.7,0.31
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,American Indian/Alaska Native,0.5,0,0.45,0
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,Overall,0.8,0.2,0.76,0.22
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Female,Overall,1.2,0.3,null,null
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,White,0.8,0.2,0.75,0.19
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,Black,1.8,0.5,1.94,0.57
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,Hispanic/Latino,1.1,0.3,1.37,0.33
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,Asian/Pacific Islander,1,0.4,1.11,0.41
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,American Indian/Alaska Native,1,0.5,1.11,0.66
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,Overall,1.1,0.3,1.05,0.28
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Male,Overall,1,0.3,null,null
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Male,Overall,1.5,0.4,null,null
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Female,Overall,1.6,0.4,null,null
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,White,1.1,0.2,0.96,0.22
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,Black,2.6,0.8,2.73,0.79
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,Hispanic/Latino,1.8,0.7,2.09,0.72
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,Asian/Pacific Islander,1.2,0.2,1.35,0.24
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,American Indian/Alaska Native,1,0,1.11,0
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,Overall,1.5,0.4,1.44,0.39
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Female,Overall,2.3,0.7,null,null
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Male,Overall,2,0.6,null,null
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,White,1.5,0.4,1.34,0.38
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,Black,3.7,1.1,3.9,1.17
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,Hispanic/Latino,2.5,0.7,2.93,0.83
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,Asian/Pacific Islander,1.7,0.5,1.91,0.56
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,American Indian/Alaska Native,2,1,2.01,0.9
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,Overall,2.2,0.6,2.03,0.59
Entire Network,FluSurv-NET,2019-20,2019,48,Overall,Male,Overall,2.8,0.8,null,null
Entire Network,FluSurv-NET,2019-20,2019,48,Overall,Female,Overall,3.4,1.1,null,null
Entire Network,FluSurv-NET,2019-20,2019,48,Overall,Overall,White,2.3,0.8,2.03,0.69
Entire Network,FluSurv-NET,2019-20,2019,48,Overall,Overall,Black,5.6,1.8,5.82,1.92
Entire Network,FluSurv-NET,2019-20,2019,48,Overall,Overall,Hispanic/Latino,3.2,0.7,3.72,0.8
Entire Network,FluSurv-NET,2019-20,2019,48,Overall,Overall,Asian/Pacific Islander,2,0.3,2.29,0.38
Entire Network,FluSurv-NET,2019-20,2019,48,Overall,Overall,American Indian/Alaska Native,2.9,1,2.91,0.9
Entire Network,FluSurv-NET,2019-20,2019,48,Overall,Overall,Overall,3.1,0.9,2.92,0.89
Entire Network,FluSurv-NET,2019-20,2019,49,Overall,Female,Overall,4.7,1.4,null,null
Entire Network,FluSurv-NET,2019-20,2019,49,Overall,Male,Overall,4,1.1,null,null
Entire Network,FluSurv-NET,2019-20,2019,49,Overall,Overall,White,3.1,0.8,2.79,0.76
Entire Network,FluSurv-NET,2019-20,2019,49,Overall,Overall,Black,8.1,2.5,8.48,2.67
Entire Network,FluSurv-NET,2019-20,2019,49,Overall,Overall,Hispanic/Latino,4.5,1.4,5.46,1.74
Entire Network,FluSurv-NET,2019-20,2019,49,Overall,Overall,Asian/Pacific Islander,2.7,0.7,3.05,0.76
Entire Network,FluSurv-NET,2019-20,2019,49,Overall,Overall,American Indian/Alaska Native,5.4,2.4,5.46,2.55
Entire Network,FluSurv-NET,2019-20,2019,49,Overall,Overall,Overall,4.3,1.3,4.09,1.18
Entire Network,FluSurv-NET,2019-20,2019,50,Overall,Male,Overall,5.7,1.7,null,null
Entire Network,FluSurv-NET,2019-20,2019,50,Overall,Female,Overall,6.5,1.7,null,null
Entire Network,FluSurv-NET,2019-20,2019,50,Overall,Overall,White,4.4,1.3,3.97,1.18
Entire Network,FluSurv-NET,2019-20,2019,50,Overall,Overall,Black,11.4,3.3,11.95,3.47
Entire Network,FluSurv-NET,2019-20,2019,50,Overall,Overall,Hispanic/Latino,6.2,1.7,7.2,1.74
Entire Network,FluSurv-NET,2019-20,2019,50,Overall,Overall,Asian/Pacific Islander,3.3,0.6,3.76,0.72
Entire Network,FluSurv-NET,2019-20,2019,50,Overall,Overall,American Indian/Alaska Native,8.3,2.9,8.32,2.86
