"","CATCHMENT","NETWORK","YEAR","MMWR.YEAR","MMWR.WEEK","SEX.CATEGORY","RACE.CATEGORY","WEEKLY.RATE.PEDIATRIC","WEEKLY.RATE.ADULT","WEEKLY.RATE.OVERALL","CUMULATIVE.RATE.PEDIATRIC","CUMULATIVE.RATE.ADULT","CUMULATIVE.RATE.OVERALL","date","date1","WEEKLY.RATE.PEDIATRIC2","i.date","flu_weekly_new_MA","covid_weekly_new_pediatric_MA","covid_weekly_new_adult_MA","adult_hosp_flu_cases","pediatric_hosp_flu_cases","adult_hosp_flu_scale","pediatric_hosp_flu_scale","adult_hosp_flu_est","pediatric_hosp_flu_est","total_hosp_flu_est"
"1","Entire Network","FluSurv-NET","2019-20",2020,12,"Overall","Overall",0.5,1.5,1.3,41.6,72.2,65.4,2020-03-19,2020-03-22,0.5,2020-03-22,0,0,0,1e-05,1e-05,0.5,0.5,0,0,0
"2","Entire Network","FluSurv-NET","2019-20",2020,13,"Overall","Overall",0.1,0.4,0.3,41.6,72.5,65.7,2020-03-26,2020-03-29,0.1,2020-03-29,0,0,2.5,1e-05,1e-05,0.5,0.5,0,0,0
"3","Entire Network","FluSurv-NET","2019-20",2020,14,"Overall","Overall",0,0.1,0.1,41.7,72.7,65.9,2020-04-02,2020-04-05,0,2020-04-05,0,0,2.5,1e-05,1e-05,0.5,0.5,0,0,0
"4","Entire Network","FluSurv-NET","2019-20",2020,15,"Overall","Overall",0,0.1,0.1,41.7,72.8,65.9,2020-04-09,2020-04-12,0,2020-04-12,0,0,5,1e-05,1e-05,0.5,0.5,0,0,0
"5","Entire Network","FluSurv-NET","2019-20",2020,16,"Overall","Overall",0,0.1,0.1,41.7,72.9,66,2020-04-16,2020-04-19,0,2020-04-19,0,0,10,1e-05,1e-05,0.5,0.5,0,0,0
"6","Entire Network","FluSurv-NET","2019-20",2020,17,"Overall","Overall",0,0,0,41.7,72.9,66,2020-04-23,2020-04-26,0,2020-04-26,0,0,10,1e-05,1e-05,0.5,0.5,0,0,0
"7","Entire Network","FluSurv-NET",NA,2020,18,"Overall","Overall",0,0,0,0,0,0,2020-04-30,2020-05-03,0,2020-05-03,0,0,10,1e-05,1e-05,0.5,0.5,0,0,0
"8","Entire Network","FluSurv-NET",NA,2020,19,"Overall","Overall",0,0,0,0,0,0,2020-05-07,2020-05-10,0,2020-05-10,0,0,10,1e-05,1e-05,0.5,0.5,0,0,0
"9","Entire Network","FluSurv-NET",NA,2020,20,"Overall","Overall",0,0,0,0,0,0,2020-05-14,2020-05-17,0,2020-05-17,0,0,10,1e-05,1e-05,0.5,0.5,0,0,0
"10","Entire Network","FluSurv-NET",NA,2020,21,"Overall","Overall",0,0,0,0,0,0,2020-05-21,2020-05-24,0,2020-05-24,0,0,10,1e-05,1e-05,0.5,0.5,0,0,0
