date,MMWR.YEAR,MMWR.WEEK,pediatric_hosp_flu_est,MONTH,flu,influenza,fever,rsv,cold,isPartial
2020-03-22,2020,12,0.0,3,53,4,25,1,27,False
2020-03-29,2020,13,0.0,3,41,4,21,1,26,False
2020-04-05,2020,14,0.0,4,31,3,18,0,26,False
2020-04-12,2020,15,0.0,4,24,2,13,0,24,False
2020-04-19,2020,16,0.0,4,24,2,12,1,24,False
2020-04-26,2020,17,0.0,4,20,2,11,0,24,False
2020-05-03,2020,18,0.0,5,17,2,10,0,26,False
2020-05-10,2020,19,0.0,5,17,2,10,0,26,False
2020-05-17,2020,20,0.0,5,13,2,9,0,25,False
2020-05-24,2020,21,0.0,5,13,1,8,0,27,False
2020-05-31,2020,22,0.0,5,6,1,7,0,22,False
2020-06-07,2020,23,0.0,6,7,1,9,0,22,False
2020-06-14,2020,24,0.0,6,6,1,8,0,24,False
2020-06-21,2020,25,0.0,6,9,1,9,0,25,False
2020-06-28,2020,26,0.0,6,12,0,9,0,23,False
2020-07-05,2020,27,0.0,7,8,1,10,0,22,False
2020-07-12,2020,28,0.0,7,9,1,9,0,24,False
2020-07-19,2020,29,0.0,7,9,1,9,0,23,False
2020-07-26,2020,30,0.0,7,10,1,10,0,24,False
2020-08-02,2020,31,0.0,8,10,1,9,0,24,False
2020-08-09,2020,32,0.0,8,10,1,9,0,24,False
2020-08-16,2020,33,0.0,8,26,1,9,0,25,False
2020-08-23,2020,34,0.0,8,17,1,9,0,30,False
2020-08-30,2020,35,0.0,8,18,1,9,0,26,False
2020-09-06,2020,36,0.0,9,22,1,9,0,29,False
2020-09-13,2020,37,0.0,9,23,1,9,0,31,False
2020-09-20,2020,38,0.0,9,27,1,8,0,32,False
2020-09-27,2020,39,0.0,9,26,1,8,0,26,False
2020-10-04,2020,40,0.0,10,36,1,10,0,34,False
2020-10-11,2020,41,0.0,10,26,1,8,0,37,False
2020-10-18,2020,42,0.0,10,25,1,9,0,34,False
2020-10-25,2020,43,2.0,10,23,1,8,0,36,False
2020-11-01,2020,44,3.46666666666667,11,15,1,8,0,29,False
2020-11-08,2020,45,1.8,11,14,1,7,0,44,False
2020-11-15,2020,46,1.05263157894737,11,17,1,9,0,64,False
2020-11-22,2020,47,1.0,11,13,1,10,0,47,False
2020-11-29,2020,48,3.0,11,15,1,9,0,41,False
2020-12-06,2020,49,0.971428571428572,12,17,1,11,0,45,False
2020-12-13,2020,50,2.0,12,14,1,8,0,47,False
2020-12-20,2020,51,1.84313725490196,12,13,1,9,0,45,False
2020-12-27,2020,52,4.09638554216867,12,14,1,11,0,42,False
2021-01-03,2021,1,2.28373702422145,1,11,1,9,0,36,False
